Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,3615.000000,3645.800049,3606.399902,3619.500000,3483.744141,226673
2022-11-22,3636.000000,3643.000000,3585.000000,3619.100098,3483.359375,322261
2022-11-23,3622.199951,3654.149902,3595.000000,3607.850098,3472.531494,340707
2022-11-24,3617.199951,3629.649902,3598.449951,3620.149902,3484.369873,397640
2022-11-25,3632.250000,3652.699951,3601.000000,3640.250000,3503.716064,224797
2022-11-28,3630.199951,3710.000000,3630.199951,3676.699951,3538.798828,185431
2022-11-29,3680.350098,3697.000000,3652.000000,3660.100098,3522.821533,134922
2022-11-30,3674.949951,3772.899902,3671.000000,3750.699951,3610.023438,1267676
2022-12-01,3744.050049,3744.050049,3594.350098,3707.600098,3568.540039,514227
2022-12-02,3707.000000,3712.350098,3640.800049,3659.350098,3522.099854,349992
2022-12-05,3672.000000,3672.000000,3638.000000,3659.899902,3522.628906,163476
2022-12-06,3652.000000,3699.800049,3642.100098,3694.800049,3556.220215,251515
2022-12-07,3694.800049,3708.550049,3629.550049,3634.649902,3498.325928,167024
2022-12-08,3635.050049,3658.550049,3618.000000,3636.149902,3499.769775,141912
2022-12-09,3650.000000,3669.300049,3601.000000,3616.949951,3481.289795,166035
2022-12-12,3616.949951,3624.600098,3573.550049,3596.750000,3461.847412,171844
2022-12-13,3614.750000,3642.000000,3591.300049,3636.750000,3500.347412,126272
2022-12-14,3650.000000,3667.949951,3641.000000,3652.050049,3515.073486,132320
2022-12-15,3635.000000,3656.000000,3610.000000,3619.300049,3483.551758,161541
2022-12-16,3613.750000,3627.899902,3539.000000,3549.600098,3416.466064,228381
2022-12-19,3567.350098,3636.350098,3550.000000,3629.750000,3493.609863,238078
2022-12-20,3634.000000,3634.000000,3581.399902,3613.600098,3478.065674,152284
2022-12-21,3615.000000,3657.149902,3592.600098,3611.050049,3475.611328,149348
2022-12-22,3629.149902,3647.899902,3581.550049,3600.850098,3465.793945,158182
2022-12-23,3580.000000,3600.000000,3533.000000,3541.800049,3408.958496,122024
2022-12-26,3542.000000,3574.800049,3524.050049,3552.199951,3418.968506,140091
2022-12-27,3555.000000,3600.000000,3550.000000,3590.949951,3456.264893,115917
2022-12-28,3580.000000,3604.949951,3550.000000,3586.850098,3452.318848,229748
2022-12-29,3579.000000,3600.000000,3540.000000,3568.800049,3434.946045,748244
2022-12-30,3580.000000,3643.100098,3567.649902,3616.050049,3480.423828,287867
2023-01-02,3617.000000,3620.000000,3520.449951,3573.949951,3439.902588,471328
2023-01-03,3562.500000,3620.000000,3562.500000,3601.699951,3466.611816,218996
2023-01-04,3588.000000,3602.550049,3543.500000,3552.850098,3419.594238,250071
2023-01-05,3568.000000,3632.500000,3558.350098,3621.149902,3485.332275,294998
2023-01-06,3618.000000,3648.000000,3598.000000,3642.250000,3505.640869,173591
2023-01-09,3660.500000,3669.000000,3606.000000,3620.750000,3484.947266,200031
2023-01-10,3630.600098,3636.000000,3563.300049,3574.199951,3440.143311,247609
2023-01-11,3585.000000,3589.949951,3531.050049,3538.050049,3405.349121,308958
2023-01-12,3538.050049,3580.000000,3520.050049,3570.300049,3436.389648,182941
2023-01-13,3580.000000,3617.850098,3555.149902,3605.300049,3470.076904,180876
2023-01-16,3609.949951,3620.949951,3560.000000,3583.149902,3448.757568,226147
2023-01-17,3590.000000,3612.699951,3568.149902,3606.949951,3471.664795,106465
2023-01-18,3625.000000,3638.750000,3579.000000,3609.899902,3474.504150,306275
2023-01-19,3599.949951,3628.949951,3572.000000,3575.949951,3441.827637,226186
2023-01-20,3583.050049,3586.600098,3551.250000,3572.750000,3438.747559,191361
2023-01-23,3583.500000,3627.000000,3571.000000,3623.550049,3487.642578,173482
2023-01-24,3626.000000,3696.100098,3611.449951,3686.500000,3548.231445,212778
2023-01-25,3689.000000,3740.000000,3673.699951,3717.399902,3577.972412,375571
2023-01-27,3850.000000,3995.000000,3830.000000,3936.750000,3789.095215,2375899
2023-01-30,3940.000000,3948.949951,3818.850098,3841.149902,3697.080811,654472
2023-01-31,3878.000000,3878.000000,3801.000000,3818.250000,3675.039795,359118
2023-02-01,3829.449951,3886.399902,3760.100098,3811.300049,3668.350586,328212
2023-02-02,3799.000000,3859.100098,3740.000000,3790.699951,3648.522949,309024
2023-02-03,3785.000000,3858.000000,3769.199951,3852.550049,3708.053223,242350
2023-02-06,3846.550049,3869.699951,3804.100098,3849.100098,3704.732910,205412
2023-02-07,3873.000000,3895.000000,3818.199951,3879.449951,3733.944336,246673
